ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        13530.042008427856     13528.563680378189     1.4783280496667253     0.0                    1163.1235394565006     0.7055165143895205     7863.139096051886      0.5930569101871174     0.243062622668909      0.3424015667412999     700    1760   0.0                    0.0                    0                      0                      0                      0                     
0           0          1        13529.569386719717     13528.714853402234     0.8545333174786148     3.0037835482175037e-12 1163.130038018201      0.536396919935886      7863.139096079013      0.59305656750303       0.2583482242865458     0.34240136889254985    700    1760   3.0037293929062992e-12 5.415531120466174e-17  0                      0                      0                      0                     
0           0          2        13529.438044178456     13528.673934259328     0.7641099191213796     6.473167832865561e-12  1163.1282790070627     0.5072238825649238     7863.139095472258      0.593055854075157      0.23902640397085004    0.3424009569947753     700    1760   6.473019729712484e-12  1.481031530770219e-16  0                      0                      0                      0                     
0           0          3        13529.234204039783     13528.650897754736     0.5833062850328214     1.4029723426852395e-11 1163.1272887244425     0.4431697446464205     7863.139094242522      0.5930547603479281     0.20840978373342411    0.3424003255310653     700    1760   1.4029232720263932e-11 4.907065884631313e-16  0                      0                      0                      0                     
0           0          4        13529.153062635787     13528.69916882588      0.4538938098764247     3.3304076874078184e-11 1163.1293637779877     0.3909299152170255     7863.139082830177      0.5930556605624985     0.1963784885070195     0.3424008452701898     700    1760   3.330238773021794e-11  1.6891438602451215e-15 0                      0                      0                      0                     
0           0          5        13529.048757957526     13528.616800067854     0.4319578896059895     6.636915692595976e-11  1163.1258229472787     0.38136644696499394    7863.139062815091      0.5930601967436814     0.1766000753869226     0.34240346423561685    700    1760   6.636410169136407e-11  5.055234595687419e-15  0                      0                      0                      0                     
0           0          6        13528.920509477284     13528.505802149595     0.41470732751225853    1.7738123612037502e-10 1163.1210514021996     0.373673783941922      7863.138952617603      0.5930902198883051     0.19060869476339262    0.3424207981062473     700    1760   1.7735960680195524e-10 2.162931841977523e-14  0                      0                      0                      0                     
0           0          7        13528.88798637399      13528.451303894039     0.4366824797317505     2.1949794478840041e-10 1163.118708640439      0.383446395154288      7863.138906535842      0.5930972607893715     0.20992217988775097    0.34242486317237336    700    1760   2.1946548706456846e-10 3.245772383194705e-14  0                      0                      0                      0                     
0           0          8        13528.855947676113     13528.439508939857     0.41643873597233855    2.8683438044465084e-10 1163.1182016003293     0.37445301790338       7863.138803832251      0.5930706347321357     0.1946314547741381     0.3424094906110608     700    1760   2.8678709304244444e-10 4.728740220641045e-14  0                      0                      0                      0                     
0           0          9        13528.806167868259     13528.431524440704     0.3746434271612545     3.923763741360539e-10  1163.117858363489      0.35516555022659846    7863.138600182663      0.5929939821158896     0.18982195855643796    0.34236523520243695    700    1760   3.923037086034748e-10  7.266553257910566e-14  0                      0                      0                      0                     
0           0          10       13528.763544480884     13528.364497181901     0.3990472983295649     6.555281021623122e-10  1163.114976998486      0.366550623661895      7863.138054864551      0.5929281521952929     0.2060267385371594     0.3423272282800598     700    1760   6.553754579461436e-10  1.5264421616853655e-13 0                      0                      0                      0                     
0           0          11       13528.690800875715     13528.305214134745     0.3855867400474479     9.22233346157877e-10   1163.1124285353817     0.3603153968416572     7863.137533034574      0.5928846391375711     0.21092380041405684    0.3423021060044708     700    1760   9.219633336848333e-10  2.700124730436889e-13  0                      0                      0                      0                     
0           0          12       13528.613676652121     13528.203868895856     0.4098077548009787     1.4648527811119855e-09 1163.1080718873825     0.37145983500763385    7863.136273474226      0.5928717178531304     0.2250765201549984     0.3422946458974207     700    1760   1.4642415754529976e-09 6.112056589878212e-13  0                      0                      0                      0                     
0           0          13       13528.493489521321     13528.084030115877     0.4094594032227899     2.219833210453712e-09  1163.1029202145382     0.37130192422102026    7863.1343293145455     0.5927626352654831     0.23403884258559496    0.3422316670360786     700    1760   2.2185805463781344e-09 1.2526640755775356e-12 0                      0                      0                      0                     
0           0          14       13528.404920939081     13528.014064858702     0.39085607763586006    2.7439332180648138e-09 1163.099912512192      0.3627690352570999     7863.1330646360675     0.592685194658415      0.23583633491007894    0.3421869566807416     700    1760   2.742077841673272e-09  1.855376391542059e-12  0                      0                      0                      0                     
0           0          15       13528.362979847503     13527.860030883137     0.502948960545539      3.818882033452343e-09  1163.0932907932674     0.41151316425937984    7863.1296834562645     0.5910965137694855     0.2656803124758535     0.3412697313418618     700    1760   3.815445927255741e-09  3.436106196601732e-12  0                      0                      0                      0                     
0           0          16       13528.28678504171      13527.802558402811     0.4842266345045571     4.396409801026424e-09  1163.090820116933      0.40378121659749755    7863.127606330198      0.5900678129034095     0.2620976119753509     0.3406758106199172     700    1760   4.391933344021074e-09  4.47645700535006e-12   0                      0                      0                      0                     
0           0          17       13528.1800970846       13527.666024348431     0.5140727306482277     5.518247160701189e-09  1163.0849506527209     0.4160390143937462     7863.1236550551475     0.5882970918032554     0.27964872003789953    0.3396534843160835     700    1760   5.51128312596333e-09   6.964034737859358e-12  0                      0                      0                      0                     
0           0          18       13528.066851754338     13527.488235213183     0.5786165340492098     7.106215271547838e-09  1163.0773076289113     0.4413846189376684     7863.117242561207      0.5853762749393228     0.29157552618610705    0.3379671499134384     700    1760   7.094282664862559e-09  1.1932606685279051e-11 0                      0                      0                      0                     
0           0          19       13527.95266035695      13527.249482342764     0.7031780052981313     8.886827086956755e-09  1163.0670437400738     0.48658017956360694    7863.109785552752      0.5822969820809732     0.3149333500022048     0.3361893193527566     700    1760   8.867435131075669e-09  1.939195588108591e-11  0                      0                      0                      0                     
0           0          20       13527.776498533223     13527.001140242517     0.7753582798681673     1.0837840571360242e-08 1163.0563675180367     0.5109436308390641     7863.101636086014      0.5790067035094363     0.33459519870768706    0.33428967613377086    700    1760   1.0808435065112211e-08 2.9405506248031757e-11 0                      0                      0                      0                     
0           0          21       13527.502029343168     13526.702713355977     0.7993159730277987     1.4159359764068092e-08 1163.0435380223719     0.5187773677102896     7863.088025715452      0.574749531021477      0.34222987704918906    0.3318317964518609     700    1760   1.4109111482451717e-08 5.024828161637374e-11  0                      0                      0                      0                     
0           0          22       13527.098367693541     13526.224262026883     0.8741056468299401     1.9827012039376527e-08 1163.022968905897      0.5425049913128048     7863.065883482363      0.5702280083995238     0.36677359601188103    0.32922129414892926    700    1760   1.9730171863926494e-08 9.684017545003224e-11  0                      0                      0                      0                     
0           0          23       13526.786013899778     13525.447584884476     1.3384289865648384     2.8738780412715695e-08 1162.9895779792898     0.6713043202794627     7863.031314687533      0.5634174385442962     0.48218621877673085    0.32528920980967885    700    1760   2.8538250374906868e-08 2.00530037808828e-10   0                      0                      0                      0                     
0           0          24       13526.55857803488      13524.882871958716     1.6757060401299022     3.603137701860819e-08  1162.9652992225822     0.7511396593993196     7863.004266976703      0.5564189680261202     0.5454048922238678     0.32124864097209427    700    1760   3.5719192700420364e-08 3.121843181878212e-10  0                      0                      0                      0                     
0           0          25       13526.543708626514     13524.485340505724     2.05836807935144       4.143891598105607e-08  1162.9482078108942     0.8324981834039371     7862.984559788821      0.551289109762941      0.6055271272317035     0.3182869159229431     700    1760   4.102797425474694e-08  4.109417263091329e-10  0                      0                      0                      0                     
0           0          26       13526.41092382953      13524.348089811838     2.0628339744614492     4.3233669138998476e-08 1162.9423068154251     0.8334008001904387     7862.977989583967      0.5499673704906902     0.608063268132856      0.31752380939831065    700    1760   4.2786887520498846e-08 4.467816184996322e-10  0                      0                      0                      0                     
0           0          27       13526.1899920238       13524.11227646434      2.0777155130076523     4.6454120956153216e-08 1162.932168119204      0.8364015260610117     7862.966157678315      0.5483363275351586     0.6123230564508935     0.31658212630887467    700    1760   4.5938767012926934e-08 5.153539432262789e-10  0                      0                      0                      0                     
0           0          28       13525.81037141315      13523.7549385017       2.0554328594872975     5.195900115369686e-08  1162.9168043545371     0.8319044030742409     7862.946432171128      0.5471026133650172     0.6101001509591268     0.3158698411006404     700    1760   5.131656009847898e-08  6.424410552178775e-10  0                      0                      0                      0                     
0           0          29       13525.285131930537     13523.070344154115     2.2147877144384003     6.198252771381864e-08  1162.8873696172861     0.8635506755084954     7862.911543311509      0.5505115078761502     0.6302474270598688     0.3178379672642821     700    1760   6.10833039220098e-08   8.992237918088491e-10  0                      0                      0                      0                     
0           0          30       13524.844693316154     13522.009022932676     2.8356703067125575     7.676214031556473e-08  1162.8417357032151     0.9771239159089624     7862.862958820832      0.5563366888447963     0.691632562646437      0.3212011370646082     700    1760   7.541735170601231e-08  1.3447886095524267e-09 0                      0                      0                      0                     
0           0          31       13524.605235712404     13521.096167115758     3.509068507167833      8.947975363318649e-08  1162.8024839634522     1.0869703528008283     7862.8216864938095     0.5645197145366176     0.7681039580007643     0.3259256091505669     700    1760   8.768139644981383e-08  1.7983571833726615e-09 0                      0                      0                      0                     
0           0          32       13524.225133272705     13520.267893777569     3.9572393903902294     1.0474330605840226e-07 1162.7668680254678     1.154297983688885      7862.771131727307      0.5777867618206111     0.8262293489427595     0.333585342471332      700    1760   1.023144546715208e-07  2.428851386881453e-09  0                      0                      0                      0                     
0           0          33       13523.868008053056     13519.659416514914     4.2085914214662665     1.1667782583063434e-07 1162.740702672565      1.190392434721357      7862.731467717965      0.5924441506124604     0.8532686816539797     0.34204778983592315    700    1760   1.1370106467855134e-07 2.9767611520829983e-09 0                      0                      0                      0                     
0           0          34       13523.381197867402     13519.073826030377     4.3073717088405585     1.2818622450729875e-07 1162.7155209263512     1.2042813228893492     7862.692674468562      0.6068575129421594     0.8653250171232664     0.35036934845690254    700    1760   1.2462738551145513e-07 3.5588389958436074e-09 0                      0                      0                      0                     
0           0          35       13523.051425870803     13518.250100983723     4.801324742452458      1.4462546139120195e-07 1162.6800979196173     1.2714588697206843     7862.636873667133      0.6314766090681054     0.9138337138370141     0.36458319023242275    700    1760   1.401679497936109e-07  4.457511597591034e-09  0                      0                      0                      0                     
0           0          36       13522.536456292595     13517.64707951975      4.889376616771702      1.5607208945576413e-07 1162.6541652408825     1.2830645942904764     7862.59774035588       0.6460649154585816     0.9297923177321327     0.3730057528539849     700    1760   1.5093179330572022e-07 5.140296150043909e-09  0                      0                      0                      0                     
0           0          37       13522.132996104161     13516.778490280793     5.3545056489686385     1.7440023608999797e-07 1162.6168109175433     1.3427076580073547     7862.534626107997      0.6728146368163347     0.9802544116909933     0.38844971168063114    700    1760   1.680729834850176e-07  6.327252604980385e-09  0                      0                      0                      0                     
0           0          38       13521.847879493085     13516.169092046628     5.678787257259406      1.8919763563258691e-07 1162.5906025788536     1.382768809877061      7862.48321483083       0.6945798966016122     1.00847345795991       0.40101589027664325    700    1760   1.818266957305556e-07  7.370939902031309e-09  0                      0                      0                      0                     
0           0          39       13521.43357898319      13515.766483222193     5.667095561161512      1.9983481139576258e-07 1162.5732872908347     1.381344628815005      7862.446619212583      0.7093307640836075     1.0174047515540983     0.4095323075881537     700    1760   1.916642925293961e-07  8.170518866366465e-09  0                      0                      0                      0                     
0           0          40       13521.13117463548      13515.422323821458     5.70885060595232       2.080708265719547e-07  1162.558485574874      1.3864241490958196     7862.418897739399      0.7196032548017455     1.0214803862715793     0.41546313286951864    700    1760   1.9926361187225364e-07 8.807214699701058e-09  0                      0                      0                      0                     
0           0          41       13520.674047605447     13514.96860340019      5.705443985273787      2.199823591258561e-07  1162.5389715360159     1.3860104295663127     7862.378036669132      0.7316691482542856     1.0171379777105456     0.422429379702356      700    1760   2.1021148796280117e-07 9.770871163054913e-09  0                      0                      0                      0                     
0           0          42       13520.01129386744      13514.334399294046     5.676894334700958      2.386925043394162e-07  1162.5116945344694     1.382538329995247      7862.311763199383      0.7551500922336194     1.0148132273931683     0.4359861090296509     700    1760   2.2732362565964096e-07 1.136887867977525e-08  0                      0                      0                      0                     
0           0          43       13519.745209945268     13513.980669564007     5.764540130425255      2.508353051561344e-07  1162.4964804060266     1.3931699834682005     7862.267865800615      0.7588753854702456     1.0272673575678637     0.43813690808262734    700    1760   2.383604583072004e-07  1.2474846848933964e-08 0                      0                      0                      0                     
0           0          44       13519.311640772223     13513.474270710129     5.837369800137673      2.6195713759040863e-07 1162.4746995401713     1.4019430720078228     7862.226687147843      0.759895663043663      1.033716166055164      0.43872596561428795    700    1760   2.48410289513713e-07   1.3546848076695606e-08 0                      0                      0                      0                     
0           0          45       13518.699705584568     13512.71595086258      5.983754441401628      2.805844646080026e-07  1162.442082465297      1.4194126021534625     7862.157603723841      0.7646704379378865     1.0398793319677264     0.4414826831847878     700    1760   2.651480380133213e-07  1.543642659468134e-08  0                      0                      0                      0                     
0           0          46       13518.186223097817     13511.702385839117     6.483836950512255      3.0819271386517915e-07 1162.3984852811493     1.4775351381092634     7862.060722859981      0.755614604560856      1.0670299897184632     0.43625429534682286    700    1760   2.8980034840191423e-07 1.8392365463264905e-08 0                      0                      0                      0                     
0           0          47       13517.706441107397     13510.828829367394     6.877611407625784      3.3237639297640453e-07 1162.360909071162      1.5217404761133477     7861.979440772296      0.7360434083217579     1.1008132501214993     0.4249548599298165     700    1760   3.1120774477947615e-07 2.116864819692835e-08  0                      0                      0                      0                     
0           0          48       13517.130283872173     13510.031331661014     7.0989518553466375     3.558117989103775e-07  1162.3266034837627     1.5460334666218234     7861.900880690855      0.726736489145176      1.1108951063891415     0.41958150763789087    700    1760   3.3179243100435657e-07 2.4019367906020897e-08 0                      0                      0                      0                     
0           0          49       13516.835916107964     13509.048291573143     7.787624149909754      3.8491190040403507e-07 1162.2843151128354     1.619288631890648      7861.8012510172        0.7157221055423906     1.1549787111357712     0.4132223502998649     700    1760   3.571461501955825e-07  2.7765750208452557e-08 0                      0                      0                      0                     
0           0          50       13516.565179992505     13508.592755782583     7.97242380961794       4.003021610973217e-07  1162.2647183745435     1.638388775906421      7861.749272521862      0.720722618336027      1.1727910753052488     0.4161093977073571     700    1760   3.7047452693798577e-07 2.982763415933593e-08  0                      0                      0                      0                     
0           0          51       13516.234227480352     13508.15310424333      8.081122822144527      4.1487479158250744e-07 1162.2458046490558     1.649520165118583      7861.69913121188       0.7374556068196204     1.1825779669361063     0.42577019311270664    700    1760   3.8305028305987634e-07 3.182450852263111e-08  0                      0                      0                      0                     
0           0          52       13515.729072116615     13507.694953845014     8.034117838600372      4.3300226875187795e-07 1162.2260947786797     1.6447158360479557     7861.635847273164      0.7619305205987764     1.1769992938097524     0.4399007911714952     700    1760   3.986173824044785e-07  3.438488634739945e-08  0                      0                      0                      0                     
0           0          53       13515.322352952871     13506.804457040267     8.517895451300834      4.61302915480843e-07   1162.187784182929      1.6935106336929973     7861.5374438270055     0.8013295363818251     1.2175312545568928     0.46264782353964473    700    1760   4.227672312657778e-07  3.853568421506521e-08  0                      0                      0                      0                     
0           0          54       13514.69346781422      13506.092127450274     8.60133987907823       4.848674847297618e-07  1162.1571377163355     1.701785542704977      7861.4544181929305     0.8596275463630576     1.2214674183613776     0.49630619529552883    700    1760   4.427489933852766e-07  4.21184913444852e-08   0                      0                      0                      0                     
0           0          55       13513.949879635436     13504.971812790056     8.978066322988942      5.22392535639508e-07   1162.1089369241615     1.7386540638862955     7861.318708879615      0.9775794507230654     1.2566479735676084     0.5644057590292083     700    1760   4.7432716905314437e-07 4.8065366586363625e-08 0                      0                      0                      0                     
0           0          56       13513.309584649629     13503.543687430863     9.765896650254666      5.685098805023427e-07  1162.0474898828727     1.8133341364242377     7861.142736284732      1.1430214478801857     1.3111302972751842     0.659923740623141      700    1760   5.127322133613247e-07  5.5777667141018023e-08 0                      0                      0                      0                     
0           0          57       13512.862464979788     13502.380962936662     10.48150143379123      6.093313775625195e-07  1161.9974596760806     1.8785965670900626     7860.978953259209      1.2877008654428017     1.373469576292223      0.7434544412991156     700    1760   5.463169432762423e-07  6.301443428627716e-08  0                      0                      0                      0                     
0           0          58       13512.283694627971     13501.577505853        10.706188136454564     6.38516431861976e-07   1161.9628869225123     1.8986250683906503     7860.85719440483       1.4029434133060665     1.3844832074857247     0.80998975733007       700    1760   5.70121722429183e-07   6.839470943279305e-08  0                      0                      0                      0                     
0           0          59       13511.681572971482     13500.518350131042     11.163222163466388     6.76974585721893e-07   1161.917309886165      1.938726556557111      7860.686578665659      1.5247022800585588     1.4041133577735985     0.8802872718258451     700    1760   6.011909197277155e-07  7.578366599417749e-08  0                      0                      0                      0                     
0           0          60       13511.063792805558     13499.451446565488     11.612345521935406     7.181331734469303e-07  1161.871397641128      1.9773418134243503     7860.494509348445      1.6529252678026782     1.4429629614111135     0.9543168483162106     700    1760   6.341119686401012e-07  8.402120480682907e-08  0                      0                      0                      0                     
0           0          61       13510.643160456451     13498.315877566029     12.327282129055991     7.613642230904656e-07  1161.8225285113908     2.037302148296417      7860.289097848279      1.7692409905390307     1.4889031347431714     1.0214717621490295     700    1760   6.683486687761365e-07  9.30155543143291e-08   0                      0                      0                      0                     
0           0          62       13510.216929437463     13497.557521274262     12.659407371808546     7.913924798648234e-07  1161.7898915584628     2.0645645362920146     7860.147733004852      1.8503865773375974     1.5090519889310336     1.0683211885307322     700    1760   6.919439579709535e-07  9.944852189386985e-08  0                      0                      0                      0                     
0           0          63       13509.574901205306     13496.741755271121     12.833145112212218     8.219724674537734e-07  1161.754782872492      2.078683304451675      7860.00178197159       1.9374941695243644     1.5202611050692034     1.1186127803282222     700    1760   7.157283716043938e-07  1.0624409584937965e-07 0                      0                      0                      0                     
0           0          64       13508.660759488665     13495.471851670523     13.188906949491248     8.686510958145313e-07  1161.7001270409894     2.1072990795335897     7859.773009258634      2.0858042641942154     1.5366687093898521     1.2042396534093995     700    1760   7.516594722755662e-07  1.1699162353896513e-07 0                      0                      0                      0                     
0           0          65       13507.42820454714      13493.713520553043     13.714683056815828     9.37280916724795e-07   1161.6244453588702     2.1488923665386994     7859.429898534234      2.272244768672764      1.5723004820611912     1.311881128857939      700    1760   8.03873552973335e-07   1.3340736375145993e-07 0                      0                      0                      0                     
0           0          66       13506.749573933985     13491.124548667949     15.625024233092377     1.0329439585984232e-06 1161.5130024527464     2.29367628932967       7858.938746024617      2.5651558350251937     1.6721359915763512     1.480993411865135      700    1760   8.754074584702772e-07  1.5753650012814606e-07 0                      0                      0                      0                     
0           0          67       13506.371304335844     13489.60264639352      16.768656855446153     1.0868752241866611e-06 1161.4474868195077     2.3761339207294547     7858.649094618542      2.7602647271276988     1.727718492070359      1.5936395832418058     700    1760   9.150488552230452e-07  1.7182636896361595e-07 0                      0                      0                      0                     
0           0          68       13505.812555069046     13488.825848477345     16.986705474392434     1.1173094786094086e-06 1161.4140453979937     2.391532866731583      7858.483310407952      2.8669753541685847     1.7469722385079258     1.6552489924892548     700    1760   9.37210638565806e-07   1.8009884004360267e-07 0                      0                      0                      0                     
0           0          69       13505.075546900685     13487.611424794952     17.464120943315944     1.1624176566028426e-06 1161.3617621049411     2.424907297566214      7858.230399067279      3.040033404698407      1.7700628745557565     1.75516410454808       700    1760   9.697142885840398e-07  1.9270336801880285e-07 0                      0                      0                      0                     
0           0          70       13504.184340565133     13486.03314640761      18.15119293433164      1.2231914995227887e-06 1161.2938106443        2.472147401046757      7857.882093014299      3.2827358984628883     1.8107179667423563     1.8952884546559965     700    1760   1.0130759553476691e-06 2.1011554417511963e-07 0                      0                      0                      0                     
0           0          71       13503.404111979344     13484.024484060994     19.379626620538794     1.2978135456511521e-06 1161.2073236102576     2.554432776226891      7857.450820406966      3.5453732697506934     1.88653070751888       2.046922211668267      700    1760   1.065469534475435e-06  2.3234401117571714e-07 0                      0                      0                      0                     
0           0          72       13502.786321722086     13482.126353260834     20.659967096692785     1.3645554312904508e-06 1161.1255898162276     2.637464289364756      7857.060115579278      3.7439167769771204     1.9602545648967367     2.1615513590112965     700    1760   1.1117550837889291e-06 2.528003475015216e-07  0                      0                      0                      0                     
0           0          73       13501.974945679829     13480.741666753125     21.23327750837615      1.4183233685027455e-06 1161.0659613800206     2.6738084610386617     7856.739241347992      3.8779199404377716     1.9886251442892162     2.238918121507565      700    1760   1.1486405415553765e-06 2.6968282694736887e-07 0                      0                      0                      0                     
0           0          74       13501.102456100129     13478.96606724988      22.13638736035089      1.489898794156184e-06  1160.9894946660743     2.730078584502509      7856.316201484063      3.915957067416457      2.035593414590143      2.260878867007909      700    1760   1.197077339377804e-06  2.9282145477837995e-07 0                      0                      0                      0                     
