ladder_step cycle_step iter_num loss                   e_loss_contrib         f_loss_contrib         reg_loss               rmse_epa               rmse_f_comp            low_rmse_epa           low_rmse_f_comp        mae_f_comp             low_mae_f_comp         nfuncs ncoefs l1_reg_contrib         l2_reg_contrib         smooth_orth            smooth_w1              smooth_w2              smooth_w3             
0           0          0        946999.9056046692      946999.4576264723      0.4479781968687046     0.0                    1163.1235394565006     0.7055165143895205     7863.139096051886      0.5930569101871174     0.243062622668909      0.3424015667412999     700    1760   0.0                    0.0                    0                      0                      0                      0                     
0           0          1        946927.4397015123      946890.4474683881      36.992233124333076     7.082495830003928e-11  1163.0565933094374     6.411121684171887      7863.1390847661805     0.5930663491041437     2.729181260974481      0.3424070163025859     700    1760   7.080664674935584e-11  1.831155068343235e-14  0                      0                      0                      0                     
0           0          2        946909.341125331       946881.5827595757      27.75836575511717      1.2166770644246768e-10 1163.0511490776416     5.553614014026979      7863.139055403977      0.5930861139401312     2.3854600059648514     0.34241842753596385    700    1760   1.2163435457220078e-10 3.335187026689481e-14  0                      0                      0                      0                     
0           0          3        946887.2965100724      946809.8949624848      77.40154758727624      3.118931965444214e-10  1163.0071213161684     9.273711206492148      7863.138914548116      0.5931735428220104     3.8817363581197095     0.34246890462445173    700    1760   3.117856589036515e-10  1.0753764076985584e-13 0                      0                      0                      0                     
0           0          4        946845.6999338538      946768.693579915       77.00635393800435      5.80915600470691e-10   1162.9818163299738     9.250006242520676      7863.138707038694      0.5932987604359862     4.253131288117106      0.3425411990475879     700    1760   5.805696943945368e-10  3.4590607615423966e-13 0                      0                      0                      0                     
0           0          5        946768.7985697153      946689.2582284034      79.54034131059795      1.2820842146190495e-09 1162.9330273238338     9.400965748888542      7863.138001486894      0.5936495089720517     5.003944348836709      0.34274370380930325    700    1760   1.2805323849870535e-09 1.5518296319960546e-12 0                      0                      0                      0                     
0           0          6        946613.9723107286      946538.4022873063      75.57002341953459      3.053863703479192e-09  1162.8403663243269     9.163334146934279      7863.135339954745      0.5948512276853816     5.875765953443724      0.3434375164319344     700    1760   3.0461115289331814e-09 7.752174546010468e-12  0                      0                      0                      0                     
0           0          7        946410.9190569031      946240.5695045895      170.34955230681433     6.792922453165805e-09  1162.6574053217112     13.757807977323452     7863.1296265405235     0.5975019347967072     9.486294473594599      0.34496790289620116    700    1760   6.75333671469621e-09   3.958573846959487e-11  0                      0                      0                      0                     
0           0          8        946368.1192006897      946077.4333892979      290.6858113824089      9.42484506149557e-09   1162.557177327696      17.971762152592138     7863.1255249834485     0.5993283816062882     12.138141172162603     0.3460224024533733     700    1760   9.350637398724042e-09  7.420766277152898e-11  0                      0                      0                      0                     
0           0          9        946360.0219776965      946002.0977513277      357.9242263580989      1.0765254355933103e-08 1162.5108895043443     19.942256262578017     7863.123452032058      0.6002489629859921     13.541782551842681     0.3465539003607563     700    1760   1.0669678052236393e-08 9.557630369670954e-11  0                      0                      0                      0                     
